"","estimate","std"
"(Intercept)",-37.8250830169668,0.399335807086923
"algoexponential",-0.770999999999987,0.130475766669743
"algoPER",-1.04666666666672,0.127331310211031
"algoPER-v2",-0.146666666666646,0.127331310211021
"algoproportional",-0.0993333333332032,0.113888586118397
"log(frame)",2.32801537185924,0.0199032558750508
"mem_size16",-0.754333333333299,0.164794462249458
"mem_size2",-0.136000000000004,0.113888586118378
"mem_size4",-0.292666666666661,0.11388858611838
"mem_size6",-0.276000000000006,0.113888586118378
"mem_size64",-0.186000000000024,0.170832879177569
"mem_size8",0.633999999999976,0.113888586118379
"algoPER:mem_size16",1.68166666666662,0.174355577198154
"algoexponential:mem_size2",0.456000000000004,0.193107493091607
"algoPER-v2:mem_size2",-0.103333333333359,0.190996965316525
"algoproportional:mem_size2",-0.160666666666679,0.170832879177569
"algoexponential:mem_size4",0.842666666666666,0.193107493091607
"algoPER:mem_size4",0.958333333333293,0.190996965316526
"algoPER-v2:mem_size4",-0.491666666666703,0.190996965316524
"algoproportional:mem_size4",-1.57733333333335,0.17083287917757
"algoexponential:mem_size6",1.26766666666667,0.182310691535387
"algoPER:mem_size6",-0.146666666666713,0.180073665815157
"algoproportional:mem_size6",-0.730666666666677,0.170832879177567
"algoPER:mem_size64",-0.270000000000019,0.180073665815156
"algoexponential:mem_size8",-0.915666666666643,0.182310691535388
"algoproportional:mem_size8",-2.73399999999999,0.170832879177568
