,algo,room,frame,room norm,frame norm,ratio,ratio_norm,ratio norm v2,mem_size
0,default,13.0,1000000000,0.8571428571428571,0.0,1.3e-08,inf,4.4684513955429174e-05,1
1,default,13.0,759865344,0.8571428571428571,0.24013662319921725,1.710829438748558e-08,3.5693966448082004,7.834174207396314e-05,1
2,default,12.0,639098880,0.7857142857142857,0.36090407652619494,1.8776437223610844e-08,2.1770723491876587,9.200801295776148e-05,2
3,default,10.0,650366976,0.6428571428571429,0.34963588821719627,1.537593446319144e-08,1.8386474744772068,6.414937228347701e-05,2
4,default,10.0,685203456,0.6428571428571429,0.31479912283441425,1.4594205432612412e-08,2.0421185963573625,5.7745052186741694e-05,2
5,default,12.0,482492416,0.7857142857142857,0.5175118234568578,2.4870857244728173e-08,1.5182537868717634,0.000141936588068088,4
6,default,9.0,210939904,0.5714285714285714,0.7890665600332598,4.266618041127012e-08,0.7241829781818219,0.00028772488724250716,4
7,default,9.0,732168192,0.5714285714285714,0.26783400209614516,1.229225756914608e-08,2.1335176525624404,3.888632955146409e-05,6
8,default,10.0,563748864,0.6428571428571429,0.4362547097985827,1.7738394946016248e-08,1.4735821262627693,8.350384494095415e-05,6
9,default,12.0,454995968,0.7857142857142857,0.545008496709605,2.637386008660191e-08,1.4416551126411796,0.00015424994848983474,6
10,default,9.0,261115904,0.5714285714285714,0.7388901489881006,3.446745243062636e-08,0.7733606574822179,0.00022055675567751883,8
11,default,12.0,491753472,0.7857142857142857,0.5082506915896655,2.4402471326120093e-08,1.545918773384827,0.0001380993334258398,8
12,default,11.0,890724352,0.7142857142857143,0.10927654319344182,1.234949956774057e-08,6.536496245322133,3.935528499207815e-05,8
13,"PER (alpha:0.6, beta:0.4)",10.0,1000000000,0.6428571428571429,0.0,1e-08,inf,2.0106994714555062e-05,1
14,"PER (alpha:0.6, beta:0.4)",9.0,333369344,0.5714285714285714,0.6666361170830711,2.6997083451080613e-08,0.8571821369788825,0.00015935570990044729,1
15,"PER (alpha:0.6, beta:0.4)",12.0,789454848,0.7857142857142857,0.21054687680001472,1.520036266849298e-08,3.7317783937521263,6.271099922935827e-05,1
